Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-01,125.068,126.262,123.911,124.54,2098600,0.0,0.0
2018-02-02,128.409,128.409,123.134,124.383,3279600,0.0,0.0
2018-02-05,123.467,126.836,122.671,124.3,3610500,0.0,0.0
2018-02-06,122.995,127.484,121.875,127.002,3546200,0.0,0.0
2018-02-07,126.641,127.262,124.013,124.679,2835700,0.0,0.0
2018-02-08,125.068,125.503,121.468,121.671,3067500,0.0,0.0
2018-02-09,122.338,125.216,121.412,124.716,3029100,0.0,0.0
2018-02-12,125.327,127.706,125.327,126.827,2273400,0.0,0.0
2018-02-13,126.225,127.474,126.225,127.262,1740800,0.0,0.0
2018-02-14,126.956,129.566,126.318,129.326,1693300,0.0,0.0
2018-02-15,129.575,130.066,127.678,129.233,2262600,0.0,0.0
2018-02-16,128.844,131.121,128.844,130.538,2087300,0.0,0.0
2018-02-20,130.26,130.547,128.696,128.974,1399700,0.0,0.0
2018-02-21,128.992,131.621,128.974,129.409,1965600,0.0,0.0
2018-02-22,129.668,130.769,129.214,129.714,1191500,0.0,0.0
2018-02-23,130.214,131.843,129.918,131.787,1065300,0.0,0.0
2018-02-26,132.0,132.935,131.713,132.62,1119400,0.0,0.0
2018-02-27,132.323,132.945,129.512,129.716,1861800,0.38,0.0
2018-02-28,129.781,130.662,128.472,128.472,1616900,0.0,0.0
2018-03-01,128.305,129.242,127.173,128.565,2361200,0.0,0.0
2018-03-02,127.516,130.607,127.516,130.523,1680400,0.0,0.0
2018-03-05,130.013,131.6,129.512,131.442,2085300,0.0,0.0
2018-03-06,131.924,132.815,131.498,132.407,2033600,0.0,0.0
2018-03-07,131.34,133.502,131.238,133.214,1627000,0.0,0.0
2018-03-08,133.261,134.022,132.5,133.994,1944700,0.0,0.0
2018-03-09,134.792,134.94,134.124,134.606,1814100,0.0,0.0
2018-03-12,134.56,135.46,134.272,134.903,1259100,0.0,0.0
2018-03-13,135.488,135.794,134.384,135.284,1163800,0.0,0.0
2018-03-14,135.284,135.627,133.567,134.643,1644600,0.0,0.0
2018-03-15,134.913,135.219,133.251,133.743,2244900,0.0,0.0
2018-03-16,133.762,136.017,133.762,135.739,1617500,0.0,0.0
2018-03-19,135.766,137.066,134.606,135.358,1787000,0.0,0.0
2018-03-20,135.488,137.687,135.395,137.53,1613700,0.0,0.0
2018-03-21,137.186,137.418,135.497,135.609,1237200,0.0,0.0
2018-03-22,135.339,136.342,133.947,134.096,1602600,0.0,0.0
2018-03-23,134.189,135.423,133.168,133.446,1672500,0.0,0.0
2018-03-26,134.699,137.724,134.699,137.539,1720100,0.0,0.0
2018-03-27,137.947,138.198,135.414,136.128,2150000,0.0,0.0
2018-03-28,136.639,137.901,134.82,135.516,2171300,0.0,0.0
2018-03-29,136.23,139.571,136.193,138.94,1666400,0.0,0.0
2018-04-02,138.671,139.627,135.998,137.038,1707200,0.0,0.0
2018-04-03,137.864,139.107,136.787,138.625,1816100,0.0,0.0
2018-04-04,137.39,140.527,137.344,139.664,1880300,0.0,0.0
2018-04-05,140.082,141.075,138.903,140.573,1378500,0.0,0.0
2018-04-06,139.896,142.114,137.947,139.432,1722800,0.0,0.0
2018-04-09,140.295,140.954,139.395,139.506,1683500,0.0,0.0
